OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed;Mix;Color
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Tortie/Calico
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Border Collie Mix;TRUE;Black/White
Adoption;Dog;Intact Female;Female;Intact;5;months;month;0.416666667;Labrador Retriever Mix;TRUE;Black/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Maltese;FALSE;White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Adoption;Cat;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Blue Tabby/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Labrador Retriever Mix;TRUE;White
Transfer;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Blue Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair Mix;TRUE;White/Tan
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever/Rottweiler;FALSE;Black/Brown
Transfer;Cat;Spayed Female;Female;Non-intact;11;years;year;11;Domestic Shorthair Mix;TRUE;Tortie
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Dachshund/Manchester Terrier;FALSE;Tricolor
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;White/Black
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Plott Hound/Labrador Retriever;FALSE;Black/Brown Brindle
Return_to_owner;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Chihuahua Shorthair/Rat Terrier;FALSE;White/Tan
Transfer;Cat;Intact Male;Male;Intact;4;days;day;0.010951403;Domestic Shorthair Mix;TRUE;Cream Tabby/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Siberian Husky;FALSE;White/Gray
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Australian Cattle Dog Mix;TRUE;Tan/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pointer Mix;TRUE;White/Black
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull Mix;TRUE;Brown Brindle/White
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Domestic Medium Hair Mix;TRUE;Brown Tabby
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Yorkshire Terrier/Miniature Poodle;FALSE;Tan/Silver
Transfer;Cat;Intact Male;Male;Intact;10;months;month;0.833333333;Domestic Shorthair Mix;TRUE;Orange Tabby
Transfer;Dog;Spayed Female;Female;Non-intact;4;years;year;4;German Shepherd Mix;TRUE;White
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Catahoula/Labrador Retriever;FALSE;White/Tan
Adoption;Dog;Spayed Female;Female;Non-intact;9;months;month;0.75;Miniature Poodle Mix;TRUE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Jack Russell Terrier/Pit Bull;FALSE;Red
Adoption;Cat;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Domestic Shorthair Mix;TRUE;Torbie
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Queensland Heeler/Shetland Sheepdog;FALSE;Red Tick/Black
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;White/Cream Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Catahoula Mix;TRUE;Blue Merle
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever Mix;TRUE;Black/White
Adoption;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Labrador Retriever Mix;TRUE;Yellow
Return_to_owner;Dog;Intact Male;Male;Intact;6;years;year;6;Chihuahua Shorthair Mix;TRUE;Chocolate/Tan
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Longhair Mix;TRUE;Black
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;American Pit Bull Terrier Mix;TRUE;Tan/White
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Dachshund Longhair Mix;TRUE;Tan/White
Euthanasia;Cat;Neutered Male;Male;Non-intact;12;years;year;12;Domestic Longhair Mix;TRUE;Orange Tabby/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;German Shepherd Mix;TRUE;Sable
Adoption;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Labrador Retriever Mix;TRUE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair Mix;TRUE;Black
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Doberman Pinsch Mix;TRUE;Tricolor
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Black
Transfer;Cat;Intact Female;Female;Intact;15;years;year;15;Domestic Shorthair Mix;TRUE;Black
Transfer;Dog;Intact Female;Female;Intact;3;weeks;week;0.057692308;Pointer Mix;TRUE;Chocolate/White
Adoption;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Dachshund/Jack Russell Terrier;FALSE;White/Brown
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Miniature Poodle/Miniature Schnauzer;FALSE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Whippet Mix;TRUE;Brown Brindle/White
Return_to_owner;Dog;Intact Male;Male;Intact;2;years;year;2;Australian Shepherd Mix;TRUE;Brown Merle/White
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever Mix;TRUE;Tan/White
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Calico
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull Mix;TRUE;Brown Tiger/White
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair Mix;TRUE;Brown Tabby
Transfer;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Chihuahua Shorthair Mix;TRUE;White/Brown
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair Mix;TRUE;Brown Tabby
Adoption;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Black
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Rat Terrier Mix;TRUE;White/Black
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;English Pointer Mix;TRUE;Brown/White
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Miniature Schnauzer/Yorkshire Terrier;FALSE;Black/White
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Cairn Terrier Mix;TRUE;Buff
Euthanasia;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Labrador Retriever/Pit Bull;FALSE;Black
Return_to_owner;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair Mix;TRUE;White/Black
Transfer;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Great Dane;FALSE;Black/White
Return_to_owner;Dog;Intact Male;Male;Intact;2;years;year;2;Chihuahua Shorthair Mix;TRUE;Black/White
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chesa Bay Retr;FALSE;Brown
Return_to_owner;Dog;Neutered Male;Male;Non-intact;7;years;year;7;German Shepherd;FALSE;Brown/Black
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair Mix;TRUE;Brown Tabby/White
Adoption;Cat;Spayed Female;Female;Non-intact;6;years;year;6;Domestic Shorthair Mix;TRUE;Black/White
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Orange Tabby/White
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair Mix;TRUE;Tan/Black
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair Mix;TRUE;Orange Tabby/White
