OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed 1;Breed 2;Mix;Primary Color;ColorAddition1;Secondary Color;ColorAddition2
Return_to_owner;Cat;Spayed Female;Female;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair;Jack Russell Terrier;FALSE;Black;;White;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Black;;Tan;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull;;FALSE;Brown;Brindle;;
Transfer;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Siamese ;;TRUE;Flame Point;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Tibetan Terrier ;;TRUE;Brown;;;
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Blue;;White;
Transfer;Cat;Unknown;Unknown;Unknown;3;months;month;0.25;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Miniature Pinscher;Chihuahua Shorthair;FALSE;Tricolor;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Adoption;Cat;Neutered Male;Male;Non-intact;10;months;month;0.833333333;Domestic Medium Hair ;;TRUE;Cream;Tabby;;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Medium Hair ;;TRUE;Brown;Tabby;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Medium Hair ;;TRUE;Calico;;;
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Labrador Retriever ;;TRUE;Yellow;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Dachshund ;;TRUE;Tan;;;
Transfer;Dog;Intact Female;Female;Intact;6;months;month;0.5;Dachshund ;;TRUE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;11;months;month;0.916666667;Blue Lacy ;;TRUE;Blue;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Rat Terrier ;;TRUE;Tricolor;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Dachshund Longhair;;FALSE;Brown;;;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Red;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Brown;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Longhair;;FALSE;Calico;;;
Transfer;Dog;Intact Female;Female;Intact;4;months;month;0.333333333;Dachshund;Chihuahua Shorthair;FALSE;Red;;;
Transfer;Cat;Intact Female;Female;Intact;5;months;month;0.416666667;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;Tabby;White;
Transfer;Dog;Neutered Male;Male;Non-intact;7;years;year;7;Chihuahua Shorthair ;;TRUE;Brown;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;4;years;year;4;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Tortie;;Calico;
Adoption;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Border Collie ;;TRUE;Black;;White;
Adoption;Dog;Intact Female;Female;Intact;5;months;month;0.416666667;Labrador Retriever ;;TRUE;Black;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;years;year;8;Maltese;;FALSE;White;;;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;Labrador Retriever ;;TRUE;White;;;
Transfer;Cat;Intact Male;Male;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;White;;Tan;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Labrador Retriever;Rottweiler;FALSE;Black;;Brown;
Transfer;Cat;Spayed Female;Female;Non-intact;11;years;year;11;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Dachshund;Manchester Terrier;FALSE;Tricolor;;;
Transfer;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;White;;Black;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;month;month;0.083333333;Plott Hound;Labrador Retriever;FALSE;Black;;Brown;Brindle
Return_to_owner;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Chihuahua Shorthair;Rat Terrier;FALSE;White;;Tan;
Transfer;Cat;Intact Male;Male;Intact;4;days;day;0.010951403;Domestic Shorthair ;;TRUE;Cream;Tabby;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Siberian Husky;;FALSE;White;;Gray;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Australian Cattle Dog ;;TRUE;Tan;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pointer ;;TRUE;White;;Black;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;White;
Transfer;Cat;Intact Female;Female;Intact;4;weeks;week;0.076923077;Domestic Medium Hair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Yorkshire Terrier;Miniature Poodle;FALSE;Tan;;Silver;
Transfer;Cat;Intact Male;Male;Intact;10;months;month;0.833333333;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Dog;Spayed Female;Female;Non-intact;4;years;year;4;German Shepherd ;;TRUE;White;;;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Catahoula;Labrador Retriever;FALSE;White;;Tan;
Adoption;Dog;Spayed Female;Female;Non-intact;9;months;month;0.75;Miniature Poodle ;;TRUE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Jack Russell Terrier;Pit Bull;FALSE;Red;;;
Adoption;Cat;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Domestic Shorthair ;;TRUE;Torbie;;;
Adoption;Dog;Spayed Female;Female;Non-intact;10;months;month;0.833333333;Queensland Heeler;Shetland Sheepdog;FALSE;Red;Tick;Black;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;Cream;Tabby
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Catahoula ;;TRUE;Blue;Merle;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;3;months;month;0.25;Labrador Retriever ;;TRUE;Yellow;;;
Return_to_owner;Dog;Intact Male;Male;Intact;6;years;year;6;Chihuahua Shorthair ;;TRUE;Chocolate;;Tan;
Transfer;Cat;Unknown;Unknown;Unknown;1;year;year;1;Domestic Longhair ;;TRUE;Black;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;American Pit Bull Terrier ;;TRUE;Tan;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Dachshund Longhair ;;TRUE;Tan;;White;
Euthanasia;Cat;Neutered Male;Male;Non-intact;12;years;year;12;Domestic Longhair ;;TRUE;Orange;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;German Shepherd ;;TRUE;Sable;;;
Adoption;Dog;Neutered Male;Male;Non-intact;6;years;year;6;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;8;months;month;0.666666667;Doberman Pinsch ;;TRUE;Tricolor;;;
Transfer;Cat;Neutered Male;Male;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Cat;Intact Female;Female;Intact;15;years;year;15;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Female;Female;Intact;3;weeks;week;0.057692308;Pointer ;;TRUE;Chocolate;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Dachshund;Jack Russell Terrier;FALSE;White;;Brown;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Miniature Poodle;Miniature Schnauzer;FALSE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Whippet ;;TRUE;Brown;Brindle;White;
Return_to_owner;Dog;Intact Male;Male;Intact;2;years;year;2;Australian Shepherd ;;TRUE;Brown;Merle;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Labrador Retriever ;;TRUE;Tan;;White;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Pit Bull ;;TRUE;Brown;Tiger;White;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;4;weeks;week;0.076923077;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Chihuahua Shorthair ;;TRUE;White;;Brown;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Rat Terrier ;;TRUE;White;;Black;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;English Pointer ;;TRUE;Brown;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Miniature Schnauzer;Yorkshire Terrier;FALSE;Black;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Cairn Terrier ;;TRUE;Buff;;;
Euthanasia;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Labrador Retriever;Pit Bull;FALSE;Black;;;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;White;;Black;
Transfer;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Great Dane;;FALSE;Black;;White;
